,title,brand,model,price,discount,discount_%,sex,colour,cushioning,stability,best_use_surface,midsole,outsole,upper,link_shoes
20,adidas adizero Ambition Spikes,adidas,adizero Ambition Spikes,129.95,0.0,0.0,unisex, Mint/Black/Blue,,,"800-1500m,Rubber",Lightstrike Prois a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.,5 Pin Spike Plateamplifies finishing form and creates a propulsive toe-off.,Lightweight mesh is breathable and supportive in areas that need it most.  ,https://www.runningwarehouse.com/adidas_adizero_Ambition_Spikes/descpage-ADSPAMF.html
21,adidas adizero Avanti TYO Spikes,adidas,adizero Avanti TYO Spikes,149.95,0.0,0.0,unisex, Mint/Black/Blu,,,"800-1500m,Distance (3k-10k),Steeplechase,Rubber","Lightstrike Prois highly efficient and responsiveEnergyRodsthat follow along a runner's metatarsals, creating a naturally snappy feel","Pebax Spike Platein the forefoot offers lightweight, durable traction for optimal performance.Contains 6 spike receptacles per shoe",Air Meshis a breathable upper that provides a soft glove-like fit.Microsuede liningprovides increased comfort to help reduce irritations and hot spots on high-tension areas of the foot.  ,https://www.runningwarehouse.com/adidas_adizero_Avanti_TYO_Spikes/descpage-ADSPAU5.html
22,adidas distancestar Spikes,adidas,distancestar Spikes,64.95,0.0,0.0,unisex, White/Night Met/Blac,,,"800-1500m,Distance (3k-10k),Rubber","Molded EVA from heel to toe offers lightweight, resilient cushioning.","TPU Spike Plate provides a versatile yet responsive ride.AdiWear is a non-marking carbon rubber in the heel for durable, improved traction.Contains 5 spike receptacles per shoe.",Open Mesh throughout the upper provides breathability.Synthetic Heel provides a snug heel lockdown.Seamless toe cap reduces foot hot spots and irritation.  ,https://www.runningwarehouse.com/adidas_distancestar_Spikes/descpage-ADSTRU3.html
23,adidas sprintstar Spikes,adidas,sprintstar Spikes,64.95,0.0,0.0,unisex, Mint/Blue/Fuchsia,,,"100-400m,Rubber","To keep weight down, this shoe contains no additional cushioning technologies. ","Pebax Spike Plate in the forefoot offers lightweight, durable traction for optimal performance.Traxion cleat design increases grip without excessive pressure points on the foot.Includes 12 replaceable spikes.",Synthetic upper provides lightweight durability and a secure fit.Soft Ankle Collar reduces pressure on the Achilles and the ankles and ads step-in comfort.  ,https://www.runningwarehouse.com/adidas_sprintstar_Spikes/descpage-ASPRU2.html
24,Altra Vanish Carbon,Altra,Vanish Carbon,240.0,180.0,75.0,women, Black/Yellow,High,Neutral,Roads and Pavement," Altra EgoPRO midsole is Altra's lightest weight and most responsive supercritical TPE-based compound that is designed to be resilient and hyper-responsive. Natural Ride System (NRS) design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement. Segmented Carbon Fiber Plate embedded in the forefoot and midfoot of the midsole. This plate has a 3-pronged design for adaptability and is asymmetrically flexible meaning that runners will feel natural and smooth flexibility when landing, but then a stiff snappiness on toe-off.UPPER Race-Inspired Upper is lightweight, thin, and built to provide a trustworthy lock-down on race day. Slim Foot Design follows a more narrow design that provides a race-ready fit but keeps the brand’s signature foot shape through the toe box.",no information," Race-Inspired Upper is lightweight, thin, and built to provide a trustworthy lock-down on race day. Slim Foot Design follows a more narrow design that provides a race-ready fit but keeps the brand’s signature foot shape through the toe box.OUTSOLE Strategic Rubber provides nice durability and traction while keeping weight at a minimum.  ",https://www.runningwarehouse.com/Altra_Vanish_Carbon/descpage-ALVCW2.html
25,Altra Vanish Tempo,Altra,Vanish Tempo,170.0,127.5,75.0,women, Gray/Yellow,Maximal,Neutral,"Racing,Roads and Pavement","Altra EgoPROmidsole is Altra's lightest weight and most responsive supercritical TPE-based compound that is designed to be resilient and hyper-responsive.Natural Ride System (NRS) design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.UPPERRace-Inspired Upper is lightweight, thin, and built to provide a trustworthy lock-down on race day.Slim Foot Design follows a narrower design that provides a race-ready fit but keeps the brand’s signature foot shape through the toe box.",no information,"Race-Inspired Upper is lightweight, thin, and built to provide a trustworthy lock-down on race day.Slim Foot Design follows a narrower design that provides a race-ready fit but keeps the brand’s signature foot shape through the toe box.OUTSOLEStrategic Rubber provides nice durability and traction while keeping weight at a minimum.  ",https://www.runningwarehouse.com/Altra_Vanish_Tempo/descpage-ALVTW2.html
26,Altra Lone Peak 7,Altra,Lone Peak 7,150.0,112.5,75.0,women, Tan,Medium,Neutral,"All Around,Hiking,Smooth Trails and Fireroads,Rocky and Technical Trails","Altra EGO is a midsole compound designed for high energy return, providing high levels of durability and responsiveness.Natural Ride System (NRS) provide a more naural, foot-shaped zero-millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.Natural Foot Design to closely follow along your foot for a more natural experience",no information,no information,https://www.runningwarehouse.com/Altra_Lone_Peak_7/descpage-ALP7W01.html
27,Altra Lone Peak ALL-WTHR Low 2,Altra,Lone Peak ALL-WTHR Low 2,180.0,135.0,75.0,women, Gray/Orang,Medium,Neutral,"Hiking,Smooth Trails and Fireroads,Rocky and Technical Trails,Soft and Muddy Trails","Altra EGO  is a midsole compound designed for high energy return, providing high levels of durability and responsiveness.Natural Ride System (NRS) provide a more natural, foot-shaped zero millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.Natural Foot Design to closely follow along your foot for a more natural experience",MaxTrac Outsole is an anatomically shaped sticky rubber that provides excellent grip and durability on rocky terrain.Stoneguard™ in-bedded to provide protection from rocks and any other debris.Trail Claw multi-directional patterned lugs under the forefoot and claws under the toes and heal to provide improved grip and stability on trails.,Streamlined Construction updated design for a lighter feel.Original Footshape Design  to provide the most comfortable and spacious fit.Water-Resistant Bootie keeps water out and keeps your feet dry.TPU Kick Plate additional protection in the forefoot  ,https://www.runningwarehouse.com/Altra_Lone_Peak_ALL-WTHR_Low_2/descpage-ALAL2W2.html
28,Altra Lone Peak ALL-WTHR Mid 2,Altra,Lone Peak ALL-WTHR Mid 2,190.0,142.5,75.0,women, Light Blue,Medium,Neutral,"Hiking,Smooth Trails and Fireroads,Rocky and Technical Trails","Altra EGO foam midsole compound is designed for high energy return, providing high levels of durability and responsiveness.Natural Ride System (NRS) provide a more natural, foot-shaped zero millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.Natural Foot Design to closely follow along your foot for a more natural experience",Duratread Outsole is an anatomically shaped sticky rubber that provides excellent grip and durability on rocky terrain.Trail Claw multi-directional patterned lugs under the forefoot and claws under the toes and heal to provide improved grip and stability on trails.,Original Footshape Design  to provide the most comfortable and spacious fit.eVent Upperkeeps water out and keeps your feet dry.  ,https://www.runningwarehouse.com/Altra_Lone_Peak_ALL-WTHR_Mid_2/descpage-ALAM2W1.html
29,Altra Olympus 5,Altra,Olympus 5,170.0,127.5,75.0,women, Brown/Red,Maximal,Neutral,"Cushioned Comfort,Hiking,Smooth Trails and Fireroads,Rocky and Technical Trails","Inner Flex underfoot groove system provides additional flexibility and cuts weight for increased performance.Original Footshape design includes more natural, foot-shaped last and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.Balanced Cushioningplaces your heel and forefoot at the same height from the ground to encourage a low-impact running form.Compression Molded EVAfor resilient underfoot protection.","Vibram Megagrip Outsole is made from a tough, durable compound that gives exceptional grip on trails.",Engineered Mesh offers increased breathability and durability.Premium Toungefor a tailored locked-in feel.4-point GaiterTrap uses a hook-and-loop tab that allows for easy donning of a gaiter.Original Footshapeis the fit that started it all. This is the roomiest of the 3 options accommodating those runners with higher volume feet.  ,https://www.runningwarehouse.com/Altra_Olympus_5/descpage-ALOY5W5.html
30,Altra VIA Olympus,Altra,VIA Olympus,169.95,0.0,0.0,women, Green/Orange,Maximal,Neutral,"All Around,Cushioned Comfort,Walking,Roads and Pavement","EGO MAXcushioning is responsive and resilientInner Flexflex grooves system provides additional flexibility and cuts weight for increased performanceFoot Shape Toe Boxallows the shoe to move with the bones and tendons of the footNatural Ride System (NRS)design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement","FootPod Outsolefollows the natural construction of the human foot for a responsive ride, updated to improve flexibility through the gait cycle",Engineered Mesh Upperis more breathable and lighterOriginal Footshape is the fit that started it all. This is the roomiest of the 3 options accommodating those runners with higher volume feet  ,https://www.runningwarehouse.com/Altra_VIA_Olympus/descpage-ALVOW02.html
31,Altra Superior 6,Altra,Superior 6,129.95,0.0,0.0,women, Light Blue,Low,Neutral,"Hiking,Smooth Trails and Fireroads,Rocky and Technical Trails","Altra Quanticmidsole balances cushioning and responsiveness while remaining lightweight.Inner Flexflex grooves system provides additional flexibility and cuts weight for increased performance.Natural Ride System (NRS)design includes a more natural, foot-shaped last, zero millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.Natural Foot Designfollows the natural shape of the foot for ultimate comfort.","Trail Claw outsoledesign uses a sticky rubber multi-directional pattern, combined with updated lugs under the forefoot and claws under the toes to provide improved grip and stability on trails.FootPod outsoledesign follows the natural construction of the human foot for maximum flexibility and a responsive ride.MaxTrac Outsoleuses anatomically-shaped sticky rubber that prioritizes grip and durability on uneven terrain.","Vamp Meshis updated for breathability while offering protection from rogue debrisGaiter Trapis a velcro strap that secures trail running gaiters to the shoe, preventing debris from building up beneath the shoe (matching gaitersold separately).Ripstop Quarter Paneloffer additional protection to the upper while being lightweightStandard Footshapeis Altra's most common footshape that sits right in the middle of the Original and Slim fit options. This fit will be slightly slimmer than the Original roomier fit.  ",https://www.runningwarehouse.com/Altra_Superior_6/descpage-ALSU6W0.html
32,Altra Superior 5,Altra,Superior 5,130.0,77.88,59.91,women, Dusty Olive,Low,Neutral,"All Around,Fast Runs,Rocky and Technical Trails","Altra Quanticmidsole balances cushioning and responsiveness while remaining lightweight.Inner Flexflex grooves system provides additional flexibility and cuts weight for increased performance.Natural Ride System (NRS)design includes a more natural, foot-shaped last, zero millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.Natural Foot Designfollows the natural shape of the foot for ultimate comfort.Removable StoneGuard Rock Protectionslips underneath the sockliner to disperse shock and protect the feet from rock-bruising. StoneGuard weighs 1.0 oz and is 1 mm thick (Men's size 9).","Trail Claw outsoledesign uses a sticky rubber multi-directional pattern, combined with updated lugs under the forefoot and claws under the toes to provide improved grip and stability on trails.FootPod outsoledesign follows the natural construction of the human foot for maximum flexibility and a responsive ride.MaxTrac Outsoleuses anatomically-shaped sticky rubber that prioritizes grip and durability on uneven terrain.","Quick Dry Air Meshis updated for durability, wicking water away from your foot while remaining light and breathable.Seamless Upperreduces irritation and provides next-to-foot comfort.Gaiter Trapis a velcro strap that secures trail running gaiters to the shoe, preventing debris from building up beneath the shoe (matching gaitersold separately).Synthetic Overlaysprovide long-lasting support.Standard Footshape is Altra's most common footshape that sits right in the middle of the Original and Slim fit options. This fit will be slightly slimmer than the Original roomier fit.  ",https://www.runningwarehouse.com/Altra_Superior_5/descpage-ALSU5W9.html
33,Altra Torin 6,Altra,Torin 6,150.0,89.88,59.92,women, Dusty Teal,High,Neutral,"All Around,Cushioned Comfort,Roads and Pavement","EGO MAXcushioning is responsive and resilientInner Flexflex grooves system provides additional flexibility and cuts weight for increased performanceFoot Shape Toe Boxallows the shoe to move with the bones and tendons of the footNatural Ride System (NRS)design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement","FootPod Outsolefollows the natural construction of the human foot for a responsive ride, updated to improve flexibility through the gait cycle",Engineered Mesh Upperis more breathable and lighterPlush Tongue eliminates rubbing and discomfort  ,https://www.runningwarehouse.com/Altra_Torin_6/descpage-ALTO6W4.html
34,Altra Torin 7,Altra,Torin 7,149.95,0.0,0.0,women, Black,High,Neutral,"All Around,Cushioned Comfort,Roads and Pavement","EGO MAXcushioning is responsive and resilientInner Flexflex grooves system provides additional flexibility and cuts weight for increased performanceFoot Shape Toe Boxallows the shoe to move with the bones and tendons of the footNatural Ride System (NRS)design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement","FootPod Outsolefollows the natural construction of the human foot for a responsive ride, updated to improve flexibility through the gait cycle",Engineered Mesh Upperis more breathable and lighterPlush Tongueeliminates rubbing and discomfortEvolved Molded Heel Collar adds more comfort and a secure lockdownStandard Footshapeis Altra's most common footshape that sits right in the middle of the Original and Slim fit options. This fit will be slightly slimmer than the Original roomier fit.  ,https://www.runningwarehouse.com/Altra_Torin_7/descpage-ALTO7W3.html
35,Altra Torin 5,Altra,Torin 5,150.0,49.88,33.25,women, Black,High,Neutral,"All Around,Cushioned Comfort,Roads and Pavement","EgoMax cushioning is responsive and resilient.Inner Flexflex grooves system provides additional flexibility and cuts weight for increased performance.Foot Shape Toe Boxallows the shoe to move with the bones and tendons of the foot.Natural Ride System (NRS)design includes a more natural, foot-shaped last, zero millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.","FootPod Outsolefollows the natural construction of the human foot for a responsive ride, updated to improve flexibility through the gait cycle.",Engineered Mesh Upperis more breathable and lighter.  ,https://www.runningwarehouse.com/Altra_Torin_5/descpage-AT05W3.html
36,Altra Escalante 3,Altra,Escalante 3,130.0,97.5,75.0,women, Black,Medium,Neutral,"Fast Runs,Roads and Pavement","Altra Egois a midsole compound designed for high energy return, providing high levels of durability and responsiveness.Inner Flexis comprised of a flex grooves system that provides additional flexibility and cuts weight for increased performance.FOOTSHAPE Designfollows the natural shape of the foot for ultimate comfort.Standard Footshapeis Altra's most common footshape that sits right in the middle of the Original and Slim fit options. This fit will be slightly slimmer than the Original roomier fit.",FootPodOutsolefollows the natural construction of the human foot for maximum flexibility and a responsive ride.,Engineered Knit Meshconforms to the foot for a sock-like wrap that is sleek and breathable.Decoupled Heeluses minimal construction on the upper for a fast feel.  ,https://www.runningwarehouse.com/Altra_Escalante_3/descpage-ALES3W1.html
37,Altra Escalante Racer,Altra,Escalante Racer,140.0,105.0,75.0,women, Black/Pink,Medium,Neutral,"Fast Runs,Racing,Roads and Pavement","Altra Ego is a midsole compound designed for high energy return, providing high levels of durability and responsiveness.Inner Flex is comprised of a flex grooves system that provides additional flexibility and cuts weight for increased performance.Natural Foot Designfollows the natural shape of the foot for ultimate comfort.",FootPod Outsolefollows the natural construction of the human foot for maximum flexibility and a responsive ride.,"Engineered Knit Mesh conforms to the foot for a sock-like wrap that is sleek and breathable.Heel Counter provides a more supportive heel wrap.PFS Performance Last is designed for a snug, high-performance fit.  ",https://www.runningwarehouse.com/Altra_Escalante_Racer/descpage-AER01WD.html
38,Altra Paradigm 6,Altra,Paradigm 6,170.0,127.5,75.0,women, White/Green,High,Mod,"All Around,Cushioned Comfort,Walking,Roads and Pavement","Altra EgoMAXis a soft midsole compound designed for high energy return, providing high levels of durability and responsiveness.Guide Railsare incorporated into the A-Bound midsole for adaptive stability.Inner Flexflex grooves system provides additional flexibility and cuts weight for increased performance.Natural Ride System (NRS)design includes a more natural, foot-shaped last, zero millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.","FootPod Outsolefollows the natural construction of the human foot for a responsive ride, updated to improve flexibility through the gait cycle.",Engineered Mesh Upperbalances breathable comfort and support.Standard Footshape is Altra's most common footshape that sits right in the middle of the Original and Slim fit options. This fit will be slightly slimmer than the Original roomier fit.  ,https://www.runningwarehouse.com/Altra_Paradigm_6/descpage-APD60WA.html
39,Altra Mont Blanc BOA,Altra,Mont Blanc BOA,210.0,157.5,75.0,women, Maroon Bells,High,Neutral,"Cushioned Comfort,Racing,Rocky and Technical Trails","Altra EgoMaxmidsole is a compound designed with excellent resilience, providing high levels of durability and responsiveness.Natural Ride System (NRS)design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.Standard Foot Designfollows a slightly thinner design that is still roomy for ultimate comfort.",Vibram Liteoutsole has a phenomenal grip in strategically placed areas keeping weight at a minimum.,"BOA Fit Systemallows runners to dial in their fit, feeling locked in and confident in all trail conditions.Gaiter Trapis a velcro strap that secures trail running gaiters to the shoe, preventing debris from building up beneath the shoe (matching gaitersold separately).Race-Inspired Upperis lightweight, thin, and allows runners to stay locked in while traversing different types of terrain.  ",https://www.runningwarehouse.com/Altra_Mont_Blanc_BOA/descpage-ALMOW1.html
